SYMBOL,CLOCK,OPEN,HIGH,LOW,CLOSE,VOLUME,INTEREST,SETTLE,ADJ
R.CN.SHF.cu.0004,2010-01-04,60150.0,60710.0,59820.0,60030.0,285600.0,161040.0,60370.0,1.41674686955216
R.CN.SHF.cu.0004,2010-01-05,60450.0,60670.0,59900.0,60590.0,270286.0,160152.0,60360.0,1.41674686955216
R.CN.SHF.cu.0004,2010-01-06,60660.0,61940.0,60510.0,61630.0,317130.0,172100.0,61400.0,1.41674686955216
R.CN.SHF.cu.0004,2010-01-07,62070.0,63450.0,60510.0,61170.0,585286.0,159808.0,61860.0,1.41674686955216
R.CN.SHF.cu.0004,2010-01-08,61200.0,61460.0,59680.0,60690.0,533576.0,155876.0,60500.0,1.41674686955216
R.CN.SHF.cu.0004,2010-01-11,61550.0,62520.0,61530.0,62170.0,313530.0,156532.0,61990.0,1.41674686955216
R.CN.SHF.cu.0004,2010-01-12,61520.0,61850.0,61050.0,61700.0,269398.0,151668.0,61480.0,1.41674686955216
R.CN.SHF.cu.0004,2010-01-13,59500.0,60480.0,58770.0,59770.0,379902.0,157426.0,59860.0,1.41674686955216
R.CN.SHF.cu.0004,2010-01-14,61010.0,61240.0,60600.0,60750.0,180786.0,150502.0,60880.0,1.41674686955216
R.CN.SHF.cu.0004,2010-01-15,60710.0,60960.0,60170.0,60510.0,157256.0,148232.0,60570.0,1.41674686955216
R.CN.SHF.cu.0004,2010-01-18,60000.0,60950.0,59960.0,60880.0,114758.0,140768.0,60560.0,1.41674686955216
R.CN.SHF.cu.0004,2010-01-19,61230.0,61680.0,61150.0,61630.0,88826.0,120820.0,61450.0,1.41674686955216
R.CN.SHF.cu.0004,2010-01-20,62130.0,62240.0,60980.0,61000.0,309334.0,172128.0,61500.0,1.41307832287586
R.CN.SHF.cu.0004,2010-01-21,60800.0,61230.0,60300.0,60970.0,354376.0,185938.0,60790.0,1.41307832287586
R.CN.SHF.cu.0004,2010-01-22,59580.0,59970.0,58600.0,59360.0,446150.0,205670.0,59370.0,1.41307832287586
R.CN.SHF.cu.0004,2010-01-25,59780.0,60060.0,59280.0,59930.0,316838.0,209794.0,59690.0,1.41307832287586
R.CN.SHF.cu.0004,2010-01-26,60430.0,60450.0,59180.0,59210.0,357058.0,216100.0,59770.0,1.41307832287586
R.CN.SHF.cu.0004,2010-01-27,59550.0,59850.0,59110.0,59530.0,336408.0,214978.0,59540.0,1.41307832287586
R.CN.SHF.cu.0004,2010-01-28,57500.0,57980.0,57050.0,57480.0,517296.0,225750.0,57600.0,1.41307832287586
R.CN.SHF.cu.0004,2010-01-29,56780.0,56880.0,55390.0,55570.0,533156.0,234376.0,56170.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-01,55050.0,55280.0,53360.0,54470.0,613814.0,216234.0,54140.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-02,55210.0,55490.0,54110.0,54300.0,459288.0,206016.0,54790.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-03,55070.0,56000.0,54560.0,55890.0,521488.0,198888.0,55340.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-04,53700.0,54460.0,53420.0,54000.0,448664.0,201322.0,53940.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-05,52280.0,52350.0,51360.0,51980.0,397578.0,195436.0,51880.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-08,52420.0,53280.0,52310.0,52560.0,287140.0,188590.0,52640.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-09,52410.0,53390.0,51980.0,53200.0,398498.0,193240.0,52840.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-10,54000.0,54890.0,53650.0,54660.0,369934.0,172102.0,54140.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-11,54890.0,55670.0,54810.0,55390.0,255914.0,165818.0,55360.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-12,56590.0,56700.0,55880.0,56410.0,214074.0,162166.0,56280.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-22,59990.0,60000.0,58950.0,59010.0,183196.0,142436.0,59280.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-23,58810.0,59130.0,58260.0,58890.0,150202.0,134892.0,58680.0,1.41307832287586
R.CN.SHF.cu.0004,2010-02-24,57800.0,58460.0,57650.0,58320.0,250594.0,151160.0,58130.0,1.40924949084097
R.CN.SHF.cu.0004,2010-02-25,58450.0,58950.0,57880.0,58010.0,347708.0,177706.0,58360.0,1.40924949084097
R.CN.SHF.cu.0004,2010-02-26,58210.0,58560.0,57910.0,58190.0,293268.0,189812.0,58240.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-01,61150.0,61150.0,60100.0,60780.0,441518.0,211726.0,60570.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-02,60190.0,60280.0,59120.0,59170.0,362298.0,214362.0,59730.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-03,60000.0,60050.0,59410.0,59660.0,290284.0,209892.0,59720.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-04,59870.0,60380.0,59400.0,59410.0,405516.0,219192.0,59870.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-05,59380.0,59970.0,59140.0,59870.0,360530.0,207866.0,59550.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-08,60210.0,60780.0,60050.0,60690.0,311090.0,210790.0,60470.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-09,60300.0,60520.0,59980.0,60270.0,287352.0,210164.0,60270.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-10,60310.0,60740.0,60300.0,60620.0,252260.0,210968.0,60550.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-11,60180.0,60300.0,59200.0,59310.0,387696.0,218700.0,59720.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-12,59800.0,59800.0,59210.0,59590.0,293558.0,206580.0,59490.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-15,59390.0,59440.0,58280.0,58380.0,347316.0,214152.0,58600.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-16,57950.0,58850.0,57760.0,58800.0,343412.0,202834.0,58360.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-17,59280.0,60200.0,59160.0,60140.0,297218.0,183030.0,59660.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-18,60000.0,60310.0,59460.0,59540.0,321864.0,173150.0,59820.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-19,59690.0,60490.0,59600.0,60230.0,253090.0,167392.0,60090.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-22,59500.0,59900.0,59410.0,59530.0,194780.0,165088.0,59630.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-23,59980.0,60180.0,59510.0,59560.0,205702.0,159160.0,59850.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-24,59620.0,59890.0,59030.0,59300.0,200252.0,159834.0,59480.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-25,59300.0,59420.0,58900.0,59320.0,192820.0,146366.0,59160.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-26,59350.0,60180.0,59170.0,60160.0,156490.0,127592.0,59770.0,1.40924949084097
R.CN.SHF.cu.0004,2010-03-29,61020.0,62280.0,61000.0,62100.0,347136.0,204688.0,61780.0,1.40504556461705
R.CN.SHF.cu.0004,2010-03-30,62000.0,62480.0,61800.0,62050.0,383356.0,214646.0,62140.0,1.40504556461705
R.CN.SHF.cu.0004,2010-03-31,62500.0,62570.0,61600.0,61630.0,325470.0,205386.0,61970.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-01,61810.0,62800.0,61700.0,62520.0,342966.0,229444.0,62380.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-02,62710.0,63120.0,62400.0,63100.0,290558.0,231436.0,62710.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-06,63100.0,63720.0,62980.0,63370.0,338164.0,233006.0,63380.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-07,63360.0,63450.0,62850.0,63110.0,278666.0,232458.0,63140.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-08,62710.0,62770.0,62080.0,62090.0,265748.0,220542.0,62380.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-09,62580.0,62990.0,62530.0,62930.0,249682.0,227822.0,62790.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-12,63150.0,63790.0,62780.0,62930.0,309684.0,226690.0,63260.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-13,62420.0,62780.0,62200.0,62480.0,295058.0,218048.0,62470.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-14,63030.0,63250.0,62540.0,62580.0,247050.0,213714.0,62900.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-15,62860.0,63100.0,62520.0,62590.0,280958.0,212736.0,62790.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-16,62700.0,62800.0,62200.0,62350.0,234972.0,218436.0,62420.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-19,61150.0,61250.0,60020.0,60070.0,332828.0,204838.0,60560.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-20,60640.0,60850.0,60450.0,60800.0,252638.0,198814.0,60640.0,1.40504556461705
R.CN.SHF.cu.0004,2010-04-21,60640.0,61010.0,60330.0,60930.0,293244.0,194352.0,60650.0,1.40504556461705
